Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Tyre_Radius,Speed_mps,Wheel_Omega,R_eff,Slip_Ratio,Traction_Health,Speed_Change,Throttle_Change,Hard_Braking,High_RPM,Full_Throttle,RPM_Danger,Inconsistent_Combo,Gear_Ratio,Expected_RPM,RPM_Deviation,RPM_Deviation_Ratio,Gear_Speed_Mismatch,RPM_per_Gear,Speed_per_Gear,RPM_Speed_Ratio,Throttle_RPM_Product,Throttle_Brake_Conflict,RPM_Hours,Brake_Usage,High_Speed_Miles,Stress_Score,Needs_Maintenance
2023-05-28 13:45:20.592,7781.0,108.0,3,11.0,0,0,car,0 days 00:00:03.385000,0 days 01:44:19.615000,183.57361111111112,720,30.0,814.8244145860727,0.03681774800331937,-1.2272581356566483e-09,0.95,-4.0,9.0,0,0,0,0,0,2.0,21600.0,13819.0,0.6397685184888996,0,2593.665802111399,35.999988000003995,72.04629562920097,0.085591,0,1.7638500000000001,5,111.79999999999997,0.22521030681876886,0
2023-05-28 13:45:20.792,7828.0,105.0,3,27.0,0,0,car,0 days 00:00:03.585000,0 days 01:44:19.815000,189.4069444444445,720,29.166666666666668,819.7462430766967,0.035580116258437884,-1.219889732132819e-09,0.95,-3.0,16.0,0,0,0,0,0,2.0,21000.0,13172.0,0.6272380952082267,0,2609.332463555845,34.99998833333722,74.55238024235828,0.211356,0,1.8943166666666669,5,111.79999999999997,0.26639398714113294,0
2023-05-28 13:45:20.992,7890.0,106.0,3,35.0,0,0,car,0 days 00:00:03.785000,0 days 01:44:20.015000,195.29583333333335,720,29.444444444444446,826.2388678941156,0.035636721477233985,-1.2103037858661793e-09,0.95,1.0,8.0,0,0,0,0,0,2.0,21200.0,13310.0,0.6278301886496307,0,2629.9991233336254,35.33332155555948,74.43396156194376,0.27615,0,2.025816666666667,5,111.79999999999997,0.28795543777914495,0
2023-05-28 13:45:21.192,8295.0,107.0,3,51.0,0,0,car,0 days 00:00:03.985000,0 days 01:44:20.215000,201.24027777777775,720,29.722222222222225,868.6503687175777,0.0342165539305368,-1.1512110353997364e-09,0.95,1.0,16.0,0,0,0,0,0,2.0,21400.0,13105.0,0.6123831775414774,0,2764.99907833364,35.66665477778174,77.5233637614639,0.423045,0,2.1640666666666672,5,111.79999999999997,0.3381552363016433,0
2023-05-28 13:45:21.352,8660.0,112.0,3,61.0,0,0,car,0 days 00:00:04.145000,0 days 01:44:20.375000,206.2180555555555,720,31.111111111111114,906.8730793362537,0.03430591533224873,-1.1026900181092303e-09,0.95,5.0,10.0,0,0,0,0,0,2.0,22400.0,13740.0,0.6133928571154735,0,2886.665704444765,37.333320888893034,77.32142788105868,0.52826,0,2.3084000000000007,5,111.79999999999997,0.3723476473157467,0
2023-05-28 13:45:21.512,8730.0,115.0,3,69.0,0,0,car,0 days 00:00:04.305000,0 days 01:44:20.535000,211.32916666666665,720,31.944444444444446,914.2034621946298,0.03494237960203791,-1.093848428000601e-09,0.95,3.0,8.0,0,0,0,0,0,2.0,23000.0,14270.0,0.6204347825817202,0,2909.9990300003233,38.333320555559816,75.91304281814746,0.60237,0,2.453900000000001,5,111.79999999999997,0.3941105754554378,0
2023-05-28 13:45:21.832,9437.0,126.0,3,85.0,0,0,car,0 days 00:00:04.625000,0 days 01:44:20.855000,222.52916666666667,720,35.0,988.2403290642293,0.035416486187853945,-1.0118995130247307e-09,0.95,11.0,16.0,0,0,0,0,0,2.0,25200.0,15763.0,0.6255158729910509,0,3145.6656181114604,41.99998600000467,74.89682480240616,0.802145,0,2.6111833333333343,5,111.79999999999997,0.45191614966631755,0
2023-05-28 13:45:22.032,10516.0,130.0,3,90.0,0,0,car,0 days 00:00:04.825000,0 days 01:44:21.055000,229.7513888888889,720,36.111111111111114,1101.2329448383423,0.03279152812089234,-9.080731976234043e-10,0.95,4.0,5.0,0,0,0,0,0,2.0,26000.0,15484.0,0.5955384615155562,0,3505.3321648892784,43.3333188888937,80.89230707005918,0.94644,0,2.7864500000000008,5,111.79999999999997,0.49159042770526995,0
2023-05-28 13:45:22.472,11263.0,159.0,3,100.0,0,0,car,0 days 00:00:05.265000,0 days 01:44:21.495000,249.1847222222222,720,44.16666666666667,1179.458601912728,0.03744655942785531,-8.478466541751827e-10,0.95,29.0,10.0,0,0,1,0,0,2.0,31800.0,20537.0,0.6458176100425843,0,3754.3320818893058,52.99998233333922,70.83647754190895,1.1263,0,2.9741666666666675,5,111.79999999999997,0.5354033894245446,0
2023-05-28 13:45:22.752,10727.0,170.0,4,100.0,0,0,car,0 days 00:00:05.545000,0 days 01:44:21.775000,262.40694444444443,720,47.22222222222222,1123.3288131685904,0.04203775566566661,-8.902114057241464e-10,0.95,11.0,0.0,0,0,1,0,0,1.6,27200.0,16473.0,0.6056249999777343,0,2681.7493295626673,42.499989375002656,63.09999962882353,1.0727,0,3.152950000000001,5,111.79999999999997,0.521904396812053,0
